INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Rampart,40,BATTERY - SIMPLE ASSAULT,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
Southeast,57,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Foothill,0,VEHICLE - STOLEN,DRIVEWAY
N Hollywood,33,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
West LA,0,VEHICLE - STOLEN,DRIVEWAY
Pacific,0,OTHER MISCELLANEOUS CRIME,OTHER BUSINESS
Pacific,45,ROBBERY,DRIVEWAY
West Valley,62,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Northeast,31,THEFT PLAIN - PETTY ($950 & UNDER),TRANSITIONAL HOUSING/HALFWAY HOUSE
Rampart,22,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Olympic,30,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Wilshire,75,ATTEMPTED ROBBERY,STREET
Pacific,0,VEHICLE - STOLEN,STREET
West LA,25,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Hollywood,31,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,48,BIKE - STOLEN,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,41,BURGLARY,SINGLE FAMILY DWELLING
N Hollywood,32,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,27,SHOTS FIRED AT INHABITED DWELLING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,0,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),OTHER BUSINESS
Topanga,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING UNDERGROUND/BUILDING
Olympic,66,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,0,VEHICLE - STOLEN,PARKING LOT
Foothill,63,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
Southeast,54,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
West LA,55,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
West Valley,0,VEHICLE - STOLEN,STREET
N Hollywood,73,BURGLARY,PARKING UNDERGROUND/BUILDING
N Hollywood,0,VEHICLE - STOLEN,STREET
Olympic,56,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Southwest,0,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,POLICE FACILITY
West LA,0,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,21,ROBBERY,SIDEWALK
Wilshire,43,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Northeast,0,VEHICLE - STOLEN,PARKING LOT
Southwest,0,VEHICLE - STOLEN,STREET
Topanga,23,CRIMINAL THREATS - NO WEAPON DISPLAYED,SHOPPING MALL (COMMON AREA)
Foothill,48,CONTEMPT OF COURT,SINGLE FAMILY DWELLING
Topanga,15,BATTERY - SIMPLE ASSAULT,GROUP HOME
Foothill,43,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Hollywood,55,THEFT PLAIN - PETTY ($950 & UNDER),YARD (RESIDENTIAL/BUSINESS)
Northeast,0,VEHICLE - STOLEN,STREET
Devonshire,0,OTHER MISCELLANEOUS CRIME,STREET
Topanga,45,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Foothill,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollywood,39,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",STORAGE SHED
Rampart,29,BURGLARY FROM VEHICLE,STREET
Harbor,41,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
Wilshire,0,VEHICLE - STOLEN,PARKING UNDERGROUND/BUILDING
Southwest,80,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,15,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,"VEHICLE, PASSENGER/TRUCK"
Southwest,24,THEFT PLAIN - PETTY ($950 & UNDER),OTHER RESIDENCE
Topanga,31,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Central,23,"RAPE, FORCIBLE",MINI-MART
Olympic,0,ROBBERY,STREET
Northeast,65,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Devonshire,34,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,45,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Olympic,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),"DISCOUNT STORE (99 CENT,DOLLAR,ETC."
Wilshire,22,BRANDISH WEAPON,THE GROVE
Van Nuys,47,BATTERY - SIMPLE ASSAULT,OTHER STORE
Mission,47,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Central,30,BATTERY - SIMPLE ASSAULT,STREET
West Valley,38,VIOLATION OF COURT ORDER,SINGLE FAMILY DWELLING
Olympic,47,BRANDISH WEAPON,PARKING LOT
Pacific,44,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Topanga,29,BURGLARY FROM VEHICLE,PARKING LOT
Southwest,0,VEHICLE - STOLEN,STREET
Rampart,24,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Foothill,37,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Foothill,0,VEHICLE - STOLEN,STREET
Topanga,59,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,78,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Mission,0,VEHICLE - STOLEN,STREET
Pacific,25,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BAR/COCKTAIL/NIGHTCLUB
Mission,25,THEFT PLAIN - PETTY ($950 & UNDER),RESTAURANT/FAST FOOD
Central,47,BATTERY - SIMPLE ASSAULT,CONSTRUCTION SITE
Rampart,0,VEHICLE - STOLEN,STREET
Newton,33,BATTERY - SIMPLE ASSAULT,PARKING LOT
Central,31,BURGLARY FROM VEHICLE,STREET
Devonshire,64,BATTERY - SIMPLE ASSAULT,MTA BUS
Van Nuys,35,THEFT PLAIN - PETTY ($950 & UNDER),STREET
Rampart,0,VIOLATION OF COURT ORDER,PARKING LOT
Hollenbeck,54,BURGLARY FROM VEHICLE,STREET
Hollywood,38,THROWING OBJECT AT MOVING VEHICLE,STREET
Devonshire,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Southeast,33,BURGLARY FROM VEHICLE,STREET
Southeast,27,SHOPLIFTING - PETTY THEFT ($950 & UNDER),OTHER BUSINESS
Van Nuys,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Newton,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Rampart,67,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,0,THEFT PLAIN - PETTY ($950 & UNDER),MARKET
Newton,0,VEHICLE - STOLEN,STREET
West Valley,49,THEFT PLAIN - PETTY ($950 & UNDER),CLEANER/LAUNDROMAT
West LA,38,BIKE - STOLEN,SINGLE FAMILY DWELLING
Newton,34,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SIDEWALK
Hollenbeck,25,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,32,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,54,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Harbor,46,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
West Valley,33,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","DISCOUNT STORE (99 CENT,DOLLAR,ETC."
West Valley,28,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Harbor,41,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Mission,45,BATTERY - SIMPLE ASSAULT,SIDEWALK
77th Street,28,INTIMATE PARTNER - AGGRAVATED ASSAULT,STREET
Hollenbeck,36,BATTERY - SIMPLE ASSAULT,DRIVEWAY
Central,39,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,55,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),DRIVEWAY
Rampart,26,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,51,OTHER ASSAULT,STREET
Pacific,30,THEFT PLAIN - PETTY ($950 & UNDER),TAXI
Topanga,50,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
Van Nuys,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Foothill,28,CONTEMPT OF COURT,SINGLE FAMILY DWELLING
Rampart,37,OTHER ASSAULT,CLOTHING STORE
Van Nuys,56,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
Pacific,0,BURGLARY,OTHER BUSINESS
N Hollywood,0,VEHICLE - STOLEN,GARAGE/CARPORT
77th Street,26,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Foothill,33,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,24,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Newton,37,BURGLARY,OTHER BUSINESS
Wilshire,27,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,27,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Hollywood,34,TRESPASSING,SINGLE FAMILY DWELLING
Topanga,16,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
Northeast,39,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
West Valley,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Topanga,35,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DEPARTMENT STORE
West Valley,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,44,DISTURBING THE PEACE,OTHER BUSINESS
Southwest,0,VEHICLE - STOLEN,STREET
N Hollywood,42,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Newton,25,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Southwest,23,BIKE - STOLEN,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,64,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
West LA,68,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING UNDERGROUND/BUILDING
Mission,37,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,30,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,57,ROBBERY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,29,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Rampart,22,ROBBERY,STREET
Mission,79,THEFT PLAIN - PETTY ($950 & UNDER),YARD (RESIDENTIAL/BUSINESS)
West Valley,42,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
77th Street,27,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Devonshire,70,THEFT OF IDENTITY,BANK
77th Street,23,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Olympic,29,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,35,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Mission,23,THEFT PLAIN - PETTY ($950 & UNDER),MEDICAL/DENTAL OFFICES
Hollenbeck,40,THEFT PLAIN - PETTY ($950 & UNDER),OTHER/OUTSIDE
Devonshire,51,"BURGLARY FROM VEHICLE, ATTEMPTED",DRIVEWAY
Foothill,16,CHILD ANNOYING (17YRS & UNDER),HIGH SCHOOL
Southwest,73,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
West Valley,0,VEHICLE - STOLEN,PARKING LOT
Southwest,20,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,22,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Olympic,38,BURGLARY FROM VEHICLE,STREET
Hollywood,27,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,42,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Mission,0,VEHICLE - STOLEN,STREET
Topanga,45,BURGLARY FROM VEHICLE,PARKING LOT
Newton,18,BURGLARY FROM VEHICLE,SIDEWALK
Central,47,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
Devonshire,54,BURGLARY FROM VEHICLE,SINGLE FAMILY DWELLING
Central,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
Wilshire,30,BATTERY - SIMPLE ASSAULT,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
Devonshire,36,VIOLATION OF COURT ORDER,SINGLE FAMILY DWELLING
Hollywood,32,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Olympic,43,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
West Valley,0,VEHICLE - STOLEN,STREET
Southwest,60,BATTERY - SIMPLE ASSAULT,STREET
Foothill,52,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Hollywood,31,SHOPLIFTING - PETTY THEFT ($950 & UNDER),MISSIONS/SHELTERS
Southwest,36,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,37,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
West Valley,0,BURGLARY,RESTAURANT/FAST FOOD
Northeast,17,INTIMATE PARTNER - SIMPLE ASSAULT,HIGH SCHOOL
West Valley,36,BURGLARY FROM VEHICLE,ALLEY
Northeast,0,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,STREET
Van Nuys,22,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,63,BURGLARY FROM VEHICLE,DRIVEWAY
Mission,32,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,21,BATTERY - SIMPLE ASSAULT,OTHER STORE
Southwest,19,OTHER MISCELLANEOUS CRIME,MINI-MART
77th Street,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
N Hollywood,37,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Topanga,36,CRIMINAL THREATS - NO WEAPON DISPLAYED,HOTEL
77th Street,37,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Van Nuys,42,BURGLARY FROM VEHICLE,PARKING LOT
Mission,61,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Rampart,0,VEHICLE - STOLEN,STREET
Devonshire,0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),DRIVEWAY
Foothill,42,INTIMATE PARTNER - SIMPLE ASSAULT,OTHER PREMISE
West LA,24,INTIMATE PARTNER - SIMPLE ASSAULT,PARKING LOT
Rampart,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING UNDERGROUND/BUILDING
Wilshire,42,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Foothill,56,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
West LA,17,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Southwest,21,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,23,THEFT PLAIN - PETTY ($950 & UNDER),STREET
Olympic,35,BURGLARY FROM VEHICLE,GARAGE/CARPORT
West LA,0,VEHICLE - STOLEN,STREET
Wilshire,16,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Foothill,48,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
77th Street,29,BURGLARY FROM VEHICLE,STREET
Mission,20,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Pacific,53,BURGLARY FROM VEHICLE,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,34,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
77th Street,0,VEHICLE - STOLEN,STREET
77th Street,36,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Northeast,46,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,24,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Hollywood,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Hollenbeck,48,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,16,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Hollenbeck,36,VIOLATION OF RESTRAINING ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,80,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Central,38,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Newton,73,ROBBERY,STREET
Pacific,45,THEFT OF IDENTITY,OTHER/OUTSIDE
Olympic,26,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING UNDERGROUND/BUILDING
Southeast,62,BATTERY - SIMPLE ASSAULT,MTA - SILVER LINE - HARBOR FWY
Central,23,BATTERY - SIMPLE ASSAULT,SIDEWALK
Hollenbeck,35,ARSON,OTHER/OUTSIDE
Foothill,59,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Olympic,0,ARSON,SIDEWALK
Rampart,36,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Devonshire,31,THEFT PLAIN - PETTY ($950 & UNDER),YARD (RESIDENTIAL/BUSINESS)
Mission,40,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
N Hollywood,23,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,33,BIKE - STOLEN,GARAGE/CARPORT
Wilshire,46,BRANDISH WEAPON,STREET
Wilshire,0,VEHICLE - STOLEN,STREET
Topanga,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Olympic,0,BATTERY POLICE (SIMPLE),STREET
Rampart,36,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
West Valley,92,ROBBERY,SINGLE FAMILY DWELLING
Topanga,16,BATTERY - SIMPLE ASSAULT,PARKING LOT
Wilshire,51,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,56,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER RESIDENCE
Hollywood,29,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",POLICE FACILITY
Southeast,40,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Wilshire,41,BRANDISH WEAPON,PARKING LOT
Southwest,24,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Mission,0,VEHICLE - STOLEN,GARAGE/CARPORT
77th Street,35,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
Devonshire,29,THEFT OF IDENTITY,GAS STATION
West LA,0,VEHICLE - STOLEN,DRIVEWAY
Rampart,0,VEHICLE - STOLEN,STREET
Mission,40,CHILD STEALING,SINGLE FAMILY DWELLING
Hollywood,42,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,39,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Devonshire,35,THEFT OF IDENTITY,CELL PHONE STORE
Central,0,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,SIDEWALK
Rampart,0,ROBBERY,CLOTHING STORE
Rampart,34,BATTERY WITH SEXUAL CONTACT,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
Newton,33,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Wilshire,32,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Southwest,18,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Mission,12,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Olympic,59,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",PATIO*
Devonshire,69,THEFT PLAIN - PETTY ($950 & UNDER),MARKET
Southeast,35,BURGLARY FROM VEHICLE,PARKING LOT
Hollywood,21,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Foothill,28,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Foothill,15,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Rampart,20,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Hollywood,29,THEFT PLAIN - PETTY ($950 & UNDER),DRIVEWAY
Devonshire,44,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,35,BURGLARY,SINGLE FAMILY DWELLING
Foothill,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
77th Street,56,ROBBERY,GAS STATION
Southwest,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollywood,26,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Van Nuys,0,VEHICLE - STOLEN,STREET
Hollenbeck,0,BURGLARY,OTHER STORE
Pacific,26,THEFT PLAIN - PETTY ($950 & UNDER),SIDEWALK
Southeast,52,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,0,VEHICLE - STOLEN,STREET
Newton,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER BUSINESS
Devonshire,31,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",OTHER PREMISE
77th Street,0,VEHICLE - STOLEN,DRIVEWAY
Rampart,0,BURGLARY,OTHER BUSINESS
Mission,0,ARSON,"VEHICLE, PASSENGER/TRUCK"
Hollywood,0,VEHICLE - STOLEN,STREET
Harbor,25,BURGLARY,SINGLE FAMILY DWELLING
West LA,65,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",PARKING UNDERGROUND/BUILDING
West LA,56,CRIMINAL THREATS - NO WEAPON DISPLAYED,OFFICE BUILDING/OFFICE
Southwest,32,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Topanga,0,VEHICLE - STOLEN,DRIVEWAY
Van Nuys,37,"RAPE, FORCIBLE",SIDEWALK
Pacific,31,BURGLARY,SINGLE FAMILY DWELLING
West LA,0,VEHICLE - STOLEN,GARAGE/CARPORT
77th Street,31,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Foothill,31,BURGLARY FROM VEHICLE,STREET
Northeast,30,BURGLARY FROM VEHICLE,PARK/PLAYGROUND
Central,34,VEHICLE - ATTEMPT STOLEN,PARKING LOT
Rampart,33,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,0,ROBBERY,DEPARTMENT STORE
Southwest,51,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Pacific,0,BURGLARY,OTHER BUSINESS
77th Street,61,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Southeast,59,THEFT OF IDENTITY,MEDICAL/DENTAL OFFICES
Topanga,20,THEFT OF IDENTITY,DEPARTMENT STORE
Foothill,15,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Central,46,VANDALISM - MISDEAMEANOR ($399 OR UNDER),STREET
West Valley,70,BURGLARY FROM VEHICLE,PARKING LOT
Topanga,44,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING
Foothill,39,BURGLARY FROM VEHICLE,STREET
77th Street,0,DISCHARGE FIREARMS/SHOTS FIRED,STREET
N Hollywood,73,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Mission,20,BATTERY WITH SEXUAL CONTACT,SIDEWALK
Van Nuys,66,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,61,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),AUTO REPAIR SHOP
N Hollywood,0,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Mission,21,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,64,BATTERY - SIMPLE ASSAULT,HIGH SCHOOL
Central,62,BIKE - STOLEN,PARKING UNDERGROUND/BUILDING
Hollywood,38,THEFT OF IDENTITY,STREET
Hollenbeck,0,VEHICLE - STOLEN,STREET
Central,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER BUSINESS
Pacific,0,VEHICLE - STOLEN,DRIVEWAY
